lengthKm,xOverL,uxPISM
40,0.120000,7.26906233
40,0.130000,6.30542207
40,0.140000,5.48819124
40,0.150000,4.76413005
40,0.160000,4.14654844
40,0.170000,3.68070025
40,0.180000,3.19888012
40,0.190000,2.86346942
40,0.200000,2.67446815
40,0.210000,2.56798857
40,0.220000,2.44287505
40,0.230000,2.27516970
40,0.240000,2.27516970
40,0.250000,2.27516970
40,0.260000,2.27516970
40,0.270000,2.27516970
40,0.280000,2.27516970
40,0.290000,2.55201663
40,0.300000,2.56798857
40,0.310000,2.86080743
40,0.320000,3.11902043
40,0.330000,3.44644516
40,0.340000,3.78984183
40,0.350000,4.36483160
40,0.360000,5.03565299
40,0.370000,5.70647439
40,0.380000,6.52370522
40,0.390000,7.48734548
40,0.400000,8.75711455
40,0.410000,10.14667316
40,0.420000,11.60011952
40,0.430000,13.38099061
40,0.440000,15.16186170
40,0.450000,17.38196109
40,0.460000,19.45565104
40,0.470000,21.84079379
40,0.480000,24.45752964
40,0.490000,27.34845042
40,0.500000,30.09296177
40,0.510000,32.98388256
40,0.520000,35.87480334
40,0.530000,39.05854299
40,0.540000,42.24228263
40,0.550000,45.13320342
40,0.560000,48.02412420
40,0.570000,50.91504498
40,0.580000,53.75804995
40,0.590000,56.40406769
40,0.600000,58.73597064
40,0.610000,60.83894248
40,0.620000,63.02709799
