lengthKm,xOverL,uxPISM
40,0.290000,12.21361292
40,0.300000,12.21361292
40,0.310000,12.34007734
40,0.320000,12.43665017
40,0.330000,12.53322300
40,0.340000,12.67808225
40,0.350000,12.84593503
40,0.360000,13.09426517
40,0.370000,13.31615275
40,0.380000,13.60587124
40,0.390000,13.97146839
40,0.400000,14.37500487
40,0.410000,14.79118779
40,0.420000,15.27060292
40,0.430000,15.81325026
40,0.440000,16.48236202
40,0.450000,17.18596408
40,0.460000,17.86312358
40,0.470000,18.63225720
40,0.480000,19.59108746
40,0.490000,20.48668551
40,0.500000,21.57198019
40,0.510000,22.61243749
40,0.520000,23.75291664
40,0.530000,25.00146540
40,0.540000,26.31324636
40,0.550000,27.62502733
40,0.560000,28.87357608
40,0.570000,30.31182147
40,0.580000,31.64429661
40,0.590000,32.93538340
40,0.600000,34.12069994
40,0.610000,35.30601648
40,0.620000,36.42810082
40,0.630000,37.38808075
40,0.640000,38.27448139
40,0.650000,38.92634800
40,0.660000,39.48624049
40,0.670000,39.90242341
40,0.680000,40.25537411
40,0.690000,40.51175199
40,0.700000,40.66810800
40,0.710000,40.73823827
40,0.720000,40.79457243
40,0.730000,40.79457243
40,0.740000,40.79457243
40,0.750000,40.79457243
40,0.760000,40.79457243
40,0.770000,40.79457243
40,0.780000,40.79457243
40,0.790000,40.66810800
40,0.800000,40.55888873
40,0.810000,40.41402948
40,0.820000,40.14270581
40,0.830000,39.70697839
40,0.840000,39.23446132
40,0.850000,38.59869018
40,0.860000,37.82955655
40,0.870000,36.90061789
40,0.880000,35.84866383
40,0.890000,34.74152529
40,0.900000,33.47113268
40,0.910000,32.22258393
40,0.920000,31.03726738
40,0.930000,29.66225421
40,0.940000,28.28724103
40,0.950000,26.97546007
40,0.960000,25.72691131
40,0.970000,24.47836256
40,0.980000,23.22981380
40,0.990000,22.15601589
40,1.000000,21.69269623
80,0.000000,19.63674787
80,0.010000,18.37660601
80,0.020000,17.30321647
80,0.030000,16.24029902
80,0.040000,15.36413389
